Team,Year,Wins,Losses,OT Losses,% Wins,GF,GA,+/-
Toronto Maple Leafs,1998,45,30,0,0.00549,268,231,37
Vancouver Canucks,1998,23,47,0,0.0028000000000000004,192,258,-66
Washington Capitals,1998,31,45,0,0.00378,200,218,-18
Mighty Ducks of Anaheim,1999,34,33,3,0.00415,217,227,-10
Atlanta Thrashers,1999,14,57,4,0.0017100000000000001,170,313,-143
Boston Bruins,1999,24,33,6,0.00293,210,248,-38
Buffalo Sabres,1999,35,32,4,0.0042699999999999995,213,204,9
Calgary Flames,1999,31,36,5,0.00378,211,256,-45
Carolina Hurricanes,1999,37,35,0,0.00451,217,216,1
Chicago Blackhawks,1999,33,37,2,0.00402,242,245,-3
Colorado Avalanche,1999,42,28,1,0.00512,233,201,32
Dallas Stars,1999,43,23,6,0.00524,211,184,27
Detroit Red Wings,1999,48,22,2,0.005849999999999999,278,210,68
Edmonton Oilers,1999,32,26,8,0.0039000000000000003,226,212,14
Florida Panthers,1999,43,27,6,0.00524,244,209,35
Los Angeles Kings,1999,39,27,4,0.0047599999999999995,245,228,17
Montreal Canadiens,1999,35,34,4,0.0042699999999999995,196,194,2
Nashville Predators,1999,28,40,7,0.0034100000000000003,199,240,-41
New Jersey Devils,1999,45,24,5,0.00549,251,203,48
New York Islanders,1999,24,48,1,0.00293,194,275,-81
New York Rangers,1999,29,38,3,0.0035399999999999997,218,246,-28
Ottawa Senators,1999,41,28,2,0.005,244,210,34
Philadelphia Flyers,1999,45,22,3,0.00549,237,179,58
Phoenix Coyotes,1999,39,31,4,0.0047599999999999995,232,228,4
Pittsburgh Penguins,1999,37,31,6,0.00451,241,236,5
San Jose Sharks,1999,35,30,7,0.0042699999999999995,225,214,11
St. Louis Blues,1999,51,19,1,0.00622,248,165,83
Tampa Bay Lightning,1999,19,47,7,0.00232,204,310,-106
Toronto Maple Leafs,1999,45,27,3,0.00549,246,222,24
